TEL,NUM,CODE,FMS,PROGRESS
13387598270,5419988,ZPB8069836148901,8802c65886b,0.98
18137437663,4870546,ZPB1568014877727,d6e59284e5,0.51
13740881561,0888635,ZPB3343728953875,6da69ee19603,0.92
13525226589,2132230,ZPA8730571145439,3353272g11860d,0.29
13359736627,6384078,ZPA8845986801005,2a93a196c29,0.85
13060365875,0434259,ZPA8250544744461,0987625937g,0.9
13493071789,7287459,ZPA7640154864079,6610129334,0.63
15271648939,3208676,ZPB3695519831881,e713e64229a6,0.45
13783259637,3805673,ZPA2412508151082,65a762f03147ga,0.68
13548035941,7944544,ZPA5516470592912,45605806105,0.31
15643175067,5281211,ZPB7208429475526,136498535b,0.34
18990063272,1626596,ZPA5313157425423,3235293742,0.32
18486014786,3223198,ZPA6242742159420,g9g6a599492e,0.7
13852625141,0165099,ZPA4077661432931,f41598836487de,0.24
13750419943,1590509,ZPA5072560333459,91ff0b27491503,0.1
15163709961,2233611,ZPB2035867974104,8b984476bb597,0.98
18445730910,2494505,ZPB0827789885663,2c9829384b66,0.94
15440951779,1572970,ZPA8640455341637,9c04f9996d5,0.78
13054369084,2042847,ZPB2075278097416,136468b71f1ff,0.29
18320511465,1954742,ZPA0586424955781,6bc6b9034fg75e,0.23
15729201272,2658375,ZPA4221365736707,4533945f9316,0.36
15729201272,2658375,ZPB9860201568359,73g1210g871,0.58
15729201272,2658375,ZPB0395143025193,86456598561,0.55
15729201272,5902180,ZPA6474008833671,2019980986765,0.4
15729201272,5902180,ZPB2038086110103,527f4333801,0.02
18086864473,8987409,ZPB8681342791770,64f542d190,0.45
18086864473,8987409,ZPA1531233115406,a849782125,0.66
18086864473,8325160,ZPA8235879902469,694019d33859,0.12
18086864473,3960380,ZPB4350688389442,652fa6af13a981,0.74
18086864473,3960380,ZPA6511789137982,555573858e,0.55
15520118453,0974561,ZPB8086300245514,6g3f88276218b4,0.77
15520118453,0974561,ZPB5750723820450,155145c3175,0.22
15520118453,0974561,ZPB7974368280894,92126965g1d66,0.77
15520118453,5235320,ZPA0094324902046,708871256711,0.13
15372830817,2059166,ZPA4433934843953,a484636653g,0.23
18482320587,3499181,ZPA0858284936352,82262f79667c,0.42
18482320587,3499181,ZPA8131364673351,8e40489055b81,0.74
18482320587,3499181,ZPB7966033720692,62519e121714f,0.99
15981547707,1748354,ZPB3265947530169,12gfc25g3d70,0.47
15981547707,1748354,ZPB2374782628601,99d2419548,0.26
15981547707,1748354,ZPA1021109406956,1410g68f89,0.68
15981547707,9351380,ZPB8632179910445,50400899f63,0.01
15981547707,9351380,ZPA1195978014281,28d59780e1d348,0.22
15981547707,9351380,ZPB1338604364380,7a0115195586,0.46
15981547707,6122681,ZPA3426932926613,1d4193b531537g,1.0
15981547707,6122681,ZPA1618257465781,610288710999g4,0.25
15981547707,6122681,ZPA1618257465781,61028871099g4,0.25
15892339387,8973266,ZPA4551972133838,c08446c70710,0.09
15892339387,8973266,ZPB0147737179366,d918995f390019,0.36
15892339387,8973266,ZPA1227479584014,661588g4345715,0.01
15892339387,2740042,ZPA4204270546252,9bg7a5249c,0.94
15892339387,2740042,ZPB7995334873227,98f0e39d10e045,0.36
15892339387,2740042,ZPA1801059196651,g17a4328177,0.51
15892339387,8906944,ZPB2411692639919,57962956a4827a,0.31
15892339387,8906944,ZPB5961679288039,501b501297,0.38
15353510232,1585942,ZPB8410217604218,49452983093637,0.5
15353510232,1585942,ZPB3913318630199,8045g80142c9b,0.75
13472105610,8682603,ZPA6939599986536,525a4819031,0.15
13472105610,0562936,ZPA8366451997914,3ge66431016,0.96
13472105610,0562936,ZPB2911943958500,76893653158,0.4
13472105610,0562936,ZPB0078140324226,624gf65568,0.24
13472105610,8579411,ZPB3514798028400,36825cgf50648,0.11
18909651159,7202180,ZPB6690180606220,826e883aa485c,0.0
18909651159,9952836,ZPB7059185349890,97c68765267,0.51
18909651159,9952836,ZPB7705268974796,9066071625e,0.54
18909651159,9952836,ZPA2574897017606,8a696gc30400,0.48
18909651159,5966769,ZPB7092511472646,8f1613b2g772,0.91
18909651159,5966569,ZPB7092511472646,8f1613b2g772,0.91
